make_model,location,price,body_type,type,warranty,mileage,gearbox,fuel_type,seller,engine_size,gears,co_emissions,drivetrain,extras,empty_weight,full_service_history,upholstery,previous_owner,energy_efficiency_class,age,power_kW,cons_avg,comfort_&_convenience_Package,entertainment_&_media_Package,safety_&_security_Package
Dacia Sandero,Spain,13900.0,Compact,Used,Yes,39500.0,Manual,Benzine,Dealer,898.0,5.0,117.0,Front,1,1040.0,No,Cloth,2.0,unefficient,4.0,66.0,5.6,Standard,Standard,Safety Premium Plus Package
Dacia Sandero,Germany,14130.0,Compact,Demonstration,No,1999.0,Manual,Liquid/Natural Gas,Dealer,999.0,6.0,119.0,Front,5,1209.0,Yes,Cloth,1.0,unefficient,0.0,67.0,5.2,Standard,Plus,Safety Premium Package
Dacia Sandero,Germany,14780.0,Compact,Demonstration,No,1879.0,Manual,Benzine,Dealer,999.0,6.0,113.0,Front,1,1127.0,Yes,Cloth,1.0,unefficient,0.0,67.0,5.0,Standard,Plus,Safety Premium Package
Dacia Sandero,Germany,13760.0,Compact,Pre-registered,No,10.0,Manual,Liquid/Natural Gas,Dealer,999.0,6.0,117.0,Front,5,1250.0,Yes,Cloth,1.0,efficient,0.0,74.0,5.1,Standard,Plus,Safety Premium Package
Dacia Sandero,Germany,13760.0,Compact,Pre-registered,No,10.0,Manual,Liquid/Natural Gas,Dealer,999.0,6.0,117.0,Front,5,1040.0,Yes,Cloth,1.0,efficient,0.0,74.0,5.1,Standard,Plus,Safety Premium Package
Dacia Sandero,Germany,17080.0,Compact,Demonstration,No,1990.0,Automatic,Benzine,Dealer,999.0,1.0,119.0,Front,6,1127.0,Yes,Cloth,1.0,unefficient,0.0,67.0,5.2,Premium,Plus,Safety Premium Package
Dacia Sandero,Germany,9640.0,Compact,Used,No,74000.0,Manual,Diesel,Dealer,1461.0,5.0,101.0,Front,1,1040.0,No,Cloth,1.0,unefficient,6.0,66.0,3.8,Standard,Standard,Safety Premium Package
Dacia Sandero,Germany,13850.0,Compact,Used,No,65000.0,Manual,Benzine,Dealer,999.0,5.0,121.0,Front,2,1040.0,No,Cloth,1.0,efficient,2.0,74.0,5.3,Standard,Standard,Safety Premium Package
Dacia Sandero,Germany,13990.0,Compact,Used,No,27127.0,Manual,Benzine,Dealer,898.0,5.0,0.0,Front,3,1040.0,Yes,Cloth,1.0,efficient,3.0,66.0,5.5,Standard,Plus,Safety Premium Package
Dacia Sandero,Spain,7572.0,Compact,Used,Yes,90823.0,Manual,Benzine,Dealer,999.0,5.0,117.0,Front,1,969.0,No,Cloth,2.0,unefficient,4.0,55.0,5.3,Standard,Standard,Safety Premium Plus Package
Dacia Sandero,Germany,12990.0,Compact,Used,No,46514.0,Manual,Benzine,Dealer,898.0,5.0,115.0,Front,4,1040.0,Yes,Cloth,2.0,efficient,5.0,66.0,5.1,Standard,Standard,Safety Premium Package
Dacia Sandero,Belgium,14100.0,Compact,Used,Yes,308.0,Manual,Benzine,Dealer,999.0,5.0,121.0,Front,1,1027.0,No,Cloth,1.0,unefficient,0.0,49.0,5.3,Standard,Standard,Safety Premium Package
Dacia Sandero,Germany,19140.0,Compact,Demonstration,No,1999.0,Automatic,Benzine,Dealer,999.0,6.0,119.0,Front,7,1040.0,Yes,Cloth,1.0,unefficient,0.0,67.0,5.2,Premium,Plus,Safety Premium Package
Dacia Sandero,Spain,5950.0,Compact,Used,Yes,27063.0,Manual,Benzine,Dealer,999.0,5.0,117.0,Front,1,969.0,No,Cloth,1.0,efficient,3.0,55.0,5.3,Standard,Standard,Safety Premium Package
